NAME                  REFERENCE                        TARGETS   MINPODS   MAXPODS   REPLICAS   AGE
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   0%/50%    1         10        1          46h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   0%/50%    1         10        1          46h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   4%/50%    1         10        1          46h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   102%/50%   1         10        1          46h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   102%/50%   1         10        3          46h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   87%/50%    1         10        3          46h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   60%/50%    1         10        3          46h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   60%/50%    1         10        4          46h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   50%/50%    1         10        4          47h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   45%/50%    1         10        4          47h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   46%/50%    1         10        4          47h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   46%/50%    1         10        4          47h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   27%/50%    1         10        4          47h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   0%/50%     1         10        4          47h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   0%/50%     1         10        4          47h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   0%/50%     1         10        3          47h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   0%/50%     1         10        3          47h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   0%/50%     1         10        1          47h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   0%/50%     1         10        1          47h
kub-autoscaler-demo   Deployment/kub-autoscaler-demo   0%/50%     1         10        1          47h
